species_name	proteomes	lifestyle	genomes	accession	alternative_name
Saccharomyces_cerevisiae	131.0	S	1	GCA_000091065.2,GCA_000146045.2,GCA_000149365.1,GCA_000181435.1,GCA_000182175.1,GCA_000182315.2,GCA_000190195.1,GCA_000190215.1,GCA_000190235.1,GCA_000190255.1,GCA_000218975.1,GCA_000260735.1,GCA_000269885.1,GCA_000325965.1,GCA_000326005.1,GCA_000568005.1,GCA_000568055.1,GCA_000568295.1,GCA_000568365.1,GCA_000662435.2,GCA_000975585.2,GCA_000975615.2,GCA_000975645.3,GCA_000975675.2,GCA_000975705.2,GCA_000975735.4,GCA_000975765.2,GCA_000975795.2,GCA_000975825.2,GCA_000975855.3,GCA_000975885.2,GCA_000975915.2,GCA_000975945.2,GCA_000975975.3,GCA_000976005.2,GCA_000976035.2,GCA_000976065.2,GCA_000976095.2,GCA_000976125.2,GCA_000976155.4,GCA_000976185.2,GCA_000976215.2,GCA_000976245.2,GCA_000976275.4,GCA_000976305.2,GCA_000976335.2,GCA_000976365.2,GCA_000976395.2,GCA_000976425.2,GCA_000976455.3,GCA_000976485.2,GCA_000976515.2,GCA_000976545.2,GCA_000976575.4,GCA_000976605.3,GCA_000976665.2,GCA_000976695.3,GCA_000976725.3,GCA_000976755.2,GCA_000976785.2,GCA_000976815.3,GCA_000976845.3,GCA_000976875.3,GCA_000976905.2,GCA_000976935.2,GCA_000976965.3,GCA_000976995.2,GCA_000977025.2,GCA_000977055.3,GCA_000977085.2,GCA_000977115.3,GCA_000977145.2,GCA_000977175.3,GCA_000977205.2,GCA_000977235.2,GCA_000977265.3,GCA_000977295.2,GCA_000977325.2,GCA_000977355.3,GCA_000977385.2,GCA_000977415.2,GCA_000977445.2,GCA_000977475.3,GCA_000977505.2,GCA_000977535.2,GCA_000977565.2,GCA_000977595.2,GCA_000977625.2,GCA_000977655.2,GCA_000977685.2,GCA_000977715.4,GCA_000977745.2,GCA_000977775.3,GCA_000977805.2,GCA_000977835.2,GCA_000977865.2,GCA_000977895.2,GCA_000977925.2,GCA_000977955.2,GCA_000977985.2,GCA_000978015.2,GCA_000978045.2,GCA_000978075.3,GCA_000978105.2,GCA_000978135.2,GCA_000978195.2,GCA_000978225.2,GCA_000978255.2,GCA_000978285.2,GCA_000978315.2,GCA_000978345.2,GCA_001634645.1,GCA_002335645.1,GCA_002571405.2,GCA_002804325.1,GCA_003046695.1,GCA_003046715.1,GCA_003046745.1,GCA_009014655.1,GCA_010356925.1,GCA_010356935.1,GCA_014132375.1,GCA_014132395.1,GCA_903819125.1,GCA_903819135.1,GCA_903819145.1,GCA_903819155.1,GCA_903819175.1,GCA_903819185.1,GCA_903819195.1,GCA_903819205.1
Schizosaccharomyces_pombe	1.0	S	1	GCA_000002945.2
Colletotrichum_fioriniae	1.0	H	1	GCA_000582985.1	
Colletotrichum_gloeosporioides	2.0	H	1	GCA_000446055.1,GCA_011800055.1	
Colletotrichum_graminicola	1.0	H	1	GCA_000149035.1,GCF_000149035.1
Colletotrichum_higginsianum	3.0	H	1	GCA_000313795.2,GCA_001672515.1,GCA_004920355.1	
Colletotrichum_incanum	2.0	H	1	GCA_001625285.1,GCA_001855235.1	
Colletotrichum_nymphaeae	1.0	H	1	GCA_001563115.1	
Colletotrichum_orbiculare	1.0	H	1	GCA_000350065.2	
Colletotrichum_simmondsii	1.0	H	1	GCA_001563135.1	
Colletotrichum_sublineola	1.0	H	1	GCA_000696135.1
Eutypa_lata	1.0	N	1	GCF_000349385.1
Fusarium_graminearum	5.0	H	1	GCA_000240135.3,GCA_000599445.1,GCA_900044135.1,GCA_901446245.1,GCA_002352725.1
Pyricularia_oryzae	4.0	H	1	GCA_000002495.2,GCA_000292585.1,GCA_000292605.1,GCA_004346965.1	Magnaporthe_oryzae
Neurospora_crassa	2.0	S	1	GCA_000182925.2,GCA_000786625.1
Trichoderma_reesei	2.0	S	1	GCA_000167675.2,GCA_000513815.1	
Trichoderma_virens	1.0	S	1	GCA_000170995.2	
Ustilaginoidea_virens	2.0	B	1	GCA_000687475.1,GCA_000965225.2
Verticillium_dahliae	10.0	H	1	GCA_000150675.2,GCA_002892985.1,GCA_002892995.1,GCA_002893025.1,GCA_002893035.1,GCA_002893045.1,GCA_003320035.1,GCA_004109745.1,GCA_011066465.1,GCA_011066485.1	
Taphrina_deformans	1.0	B	1	GCA_000312925.2	
Agaricus_bisporus	1.0	S	1	GCA_000300555.1
Gloeophyllum_trabeum	1.0	S	1	GCF_000344685.1
Moniliophthora_perniciosa	1.0	H	1	GCF_000183025.1
Moniliophthora_roreri	2.0	H	1	GCA_000488995.1,GCA_001466705.1
Rhizoctonia_solani	7.0	N	1	GCA_000334115.1,GCA_000350255.1,GCA_000524645.1,GCA_000695385.1,GCA_000715385.1,GCA_000832345.2,GCA_001286725.1
Serpula_lacrymans	2.0	S	1	GCA_000218685.1,GCA_000218725.1	
Sphaerobolus_stellatus	1.0	S	1	GCA_000827215.1	
Stereum_hirsutum	1.0	S	1	GCF_000264905.1
Trametes_versicolor	1.0	S	1	GCF_000271585.1
Microbotryum_violaceum	1.0	B	1	GCA_000166175.1	
Melampsora_laricis-populina	1.0	B	1	GCF_000204055.1
Puccinia_graminis	3.0	B	1	GCA_000149925.1,GCA_008520325.1,GCA_008522505.1	
Puccinia_sorghi	1.0	B	1	GCA_001263375.1	
Puccinia_striiformis	3.0	B	1	GCA_001191645.1,GCA_002920065.1,GCA_002920205.1	
Puccinia_triticina	1.0	B	1	GCA_000151525.2	
Tremella_mesenterica	2.0	B	1	GCA_000271645.1,GCA_004117975.1	
Sporisorium_reilianum	2.0	B	1	GCA_000230245.1,GCA_900162835.1	
Ustilago_hordei	1.0	B	1	GCA_000286035.1	
Ustilago_maydis	1.0	B	1	GCA_000328475.2
Rhizopus_delemar	1.0	S	1	GCA_000149305.1	
Tilletia_indica	3.0	H	1	GCA_001645015.2,GCA_009428345.1,GCA_009428365.1	
Fusarium_culmorum	1.0	H	1	GCA_003033665.1	
Plasmodiophora_brassicae	2.0	B	1	GCA_001049375.1,GCA_900303365.2	
Puccinia_coronata_var_avenae_f_sp_avena	2.0	B	1	GCA_002873125.1,GCA_002873275.1	
Synchytrium_endobioticum	2.0	B	1	GCA_006535955.1,GCA_006536045.1	
Globisporangium_ultimum	1.0	N	1		Pythium_ultimum
Gigaspora_margarita	1.0	B	1	GCA_009809945.1	
Pleurotus_ostreatu	1.0	S	0	GCA_014466165.1
Trichoderma_harzianum	4.0	S	1	GCA_000988865.1,GCA_002838845.1,GCA_002894145.1,GCF_003025095.1
